trace,taskset,arrival_mode,seed,load_factor,policy,metric,relative_loss
q01_gpu_bound_cnn_resnet50_poisson_load0.70_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.70,42,0.7,sota_gavel_finish_time_fairness,mean_flow,0.010618663952889351
q01_gpu_bound_cnn_resnet50_poisson_load0.70_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.70,42,0.7,sota_salus_iadeep_packing_guard,mean_flow,0.010618663952889351
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.50,41,0.5,sota_gavel_finish_time_fairness,mean_flow,0.01471247679168397
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.50,41,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.01471247679168397
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_gavel_finish_time_fairness,mean_flow,0.01315030876217027
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed43,q01_gpu_bound_cnn_resnet50,bursty_load0.50,43,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.01315030876217027
q01_gpu_bound_cnn_resnet50_bursty_load0.70_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.70,41,0.7,sota_iadeep_salus_interference_guard,makespan,0.00562388164839267
q01_gpu_bound_llm_inference_poisson_load0.50_seed41,q01_gpu_bound_llm_inference,poisson_load0.50,41,0.5,sota_iadeep_salus_interference_guard,makespan,0.008569808839808069
q01_gpu_bound_llm_inference_poisson_load0.50_seed41,q01_gpu_bound_llm_inference,poisson_load0.50,41,0.5,sota_gavel_finish_time_fairness,makespan,0.008244240454678087
q01_gpu_bound_llm_inference_poisson_load0.50_seed41,q01_gpu_bound_llm_inference,poisson_load0.50,41,0.5,sota_sia_pollux_resource_adaptive,makespan,0.008244240454678087
q01_gpu_bound_llm_inference_poisson_load0.50_seed41,q01_gpu_bound_llm_inference,poisson_load0.50,41,0.5,sota_salus_iadeep_packing_guard,makespan,0.008244240454678087
q01_gpu_bound_llm_inference_poisson_load0.50_seed43,q01_gpu_bound_llm_inference,poisson_load0.50,43,0.5,sota_iadeep_salus_interference_guard,makespan,0.005168073921913319
q01_gpu_bound_llm_inference_poisson_load0.70_seed41,q01_gpu_bound_llm_inference,poisson_load0.70,41,0.7,sota_iadeep_salus_interference_guard,makespan,0.009388235227413277
q01_gpu_bound_llm_inference_poisson_load0.70_seed41,q01_gpu_bound_llm_inference,poisson_load0.70,41,0.7,sota_gavel_finish_time_fairness,makespan,0.0071903202213443596
q01_gpu_bound_llm_inference_poisson_load0.70_seed41,q01_gpu_bound_llm_inference,poisson_load0.70,41,0.7,sota_sia_pollux_resource_adaptive,makespan,0.0071903202213443596
q01_gpu_bound_llm_inference_poisson_load0.70_seed41,q01_gpu_bound_llm_inference,poisson_load0.70,41,0.7,sota_salus_iadeep_packing_guard,makespan,0.0071903202213443596
q01_gpu_bound_llm_inference_poisson_load0.70_seed42,q01_gpu_bound_llm_inference,poisson_load0.70,42,0.7,sota_iadeep_salus_interference_guard,makespan,0.0055510929639319695
