cost_terms,destination_bucket,eligibility,family,notes,priority,progress_fraction,row_id,source_bucket,status,workload_env,workload_key
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,cnn,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_cnn_torch_resnet50|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,cnn,gpu_cnn_torch_resnet50
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,cnn,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_cnn_torch_resnet50|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,cnn,gpu_cnn_torch_resnet50
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,cnn,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_cnn_torch_resnet50|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,cnn,gpu_cnn_torch_resnet50
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,llm_small,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_llm_distilgpt2|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,llm,gpu_llm_distilgpt2
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,llm_small,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_llm_distilgpt2|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,llm,gpu_llm_distilgpt2
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,llm_small,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|gpu_llm_distilgpt2|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,llm,gpu_llm_distilgpt2
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_ant|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,ant,hybrid_rl_resac_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_ant|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,ant,hybrid_rl_resac_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_ant|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,ant,hybrid_rl_resac_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_halfcheetah|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,halfcheetah,hybrid_rl_resac_halfcheetah
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_halfcheetah|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,halfcheetah,hybrid_rl_resac_halfcheetah
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_halfcheetah|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,halfcheetah,hybrid_rl_resac_halfcheetah
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_hopper|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,hopper,hybrid_rl_resac_hopper
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_hopper|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,hopper,hybrid_rl_resac_hopper
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_hopper|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,hopper,hybrid_rl_resac_hopper
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_walker2d|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,walker2d,hybrid_rl_resac_walker2d
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_walker2d|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,walker2d,hybrid_rl_resac_walker2d
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_resac_walker2d|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,walker2d,hybrid_rl_resac_walker2d
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.25,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_bapr_ant|p25,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,bapr_ant,hybrid_rl_bapr_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.5,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_bapr_ant|p50,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,bapr_ant,hybrid_rl_bapr_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,hybrid_rl,GPU/hybrid migration into CPU-fast but GPU-weaker node.,required,0.75,migration|jtl110gpu:gpu_3080ti_12gb_dual|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|hybrid_rl_bapr_ant|p75,jtl110gpu:gpu_3080ti_12gb_dual,pending_or_measured_live_gate,bapr_ant,hybrid_rl_bapr_ant
"checkpoint_flush_s,sync_s,environment_staging_s,resume_warmup_s,lost_work_s,risk_penalty_s",jtl110gpu:gpu_3080ti_12gb_dual,controlled_benchmark_only; checkpoint_verified; resume_verified; no_user_running_task,cnn,Reverse GPU/hybrid migration back to 3080Ti node.,required,0.25,migration|jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast|jtl110gpu:gpu_3080ti_12gb_dual|gpu_cnn_torch_resnet50|p25,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,pending_or_measured_live_gate,cnn,gpu_cnn_torch_resnet50
