assigned_node,assigned_node_bucket,assignment_lane_id,boundary_closed_profiles,eligible_nodes,hardware_group,logical_node,logical_node_bucket,measured_profiles,missing_profiles,node,node_bucket,quadrant,resident_mix,resource_kind,resource_state,row_id,runner,status,tier,workload_env,workload_key
jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,gpu_jtl110_representative,,jtl110gpu;jtl110gpu2,gpu_3080ti_12gb_dual,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"1,2,3,5,6",4,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,q11_high_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_bapr_ant|bapr_ant|full_loaded|same_workload_to_capacity_boundary,bapr_ant_real.cmd.tpl,partial_pending_probe,T0_core_curve,bapr_ant,hybrid_rl_bapr_ant
jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,gpu_jtl110_representative,,jtl110gpu;jtl110gpu2,gpu_3080ti_12gb_dual,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,"1,2,3,4,5",6,jtl110gpu,jtl110gpu:gpu_3080ti_12gb_dual,q11_high_cpu_high_gpu,same_workload_to_capacity_boundary,gpu,full_loaded,gpu_3080ti_12gb_dual|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|full_loaded|same_workload_to_capacity_boundary,resac_env_real_venv.cmd.tpl,partial_pending_probe,T0_core_curve,ant,hybrid_rl_resac_ant
jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,gpu_jtl311_cpu_fast,,jtl311linux,gpu_rtx2080_8gb_dual_cpu_fast,jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,,"2,3,4",jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_rtx2080_8gb_dual_cpu_fast|q11_high_cpu_high_gpu|hybrid_rl_bapr_ant|bapr_ant|half_loaded|same_workload_half_capacity,bapr_ant_real.cmd.tpl,pending_probe,T0_core_curve,bapr_ant,hybrid_rl_bapr_ant
jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,gpu_jtl311_cpu_fast,,jtl311linux,gpu_rtx2080_8gb_dual_cpu_fast,jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,,"2,3,4",jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_rtx2080_8gb_dual_cpu_fast|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,ant,hybrid_rl_resac_ant
jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,gpu_jtl311_cpu_fast,,jtl311linux,gpu_rtx2080_8gb_dual_cpu_fast,jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,,"2,3,4",jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_rtx2080_8gb_dual_cpu_fast|q11_high_cpu_high_gpu|hybrid_rl_resac_halfcheetah|halfcheetah|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,halfcheetah,hybrid_rl_resac_halfcheetah
jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,gpu_jtl311_cpu_fast,,jtl311linux,gpu_rtx2080_8gb_dual_cpu_fast,jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,,"2,3,4",jtl311linux,jtl311linux:gpu_rtx2080_8gb_dual_cpu_fast,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_rtx2080_8gb_dual_cpu_fast|q11_high_cpu_high_gpu|hybrid_rl_resac_hopper|hopper|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,hopper,hybrid_rl_resac_hopper
node007-direct,node007-direct:gpu_node007_4x12gb,gpu_node007_direct,,node007-direct,gpu_node007_4x11gb,node007-direct,node007-direct:gpu_node007_4x12gb,,"2,3,4",node007-direct,node007-direct:gpu_node007_4x12gb,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_node007_4x11gb|q11_high_cpu_high_gpu|hybrid_rl_resac_ant|ant|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,ant,hybrid_rl_resac_ant
node007-direct,node007-direct:gpu_node007_4x12gb,gpu_node007_direct,,node007-direct,gpu_node007_4x11gb,node007-direct,node007-direct:gpu_node007_4x12gb,,"2,3,4",node007-direct,node007-direct:gpu_node007_4x12gb,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_node007_4x11gb|q11_high_cpu_high_gpu|hybrid_rl_resac_halfcheetah|halfcheetah|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,halfcheetah,hybrid_rl_resac_halfcheetah
node007-direct,node007-direct:gpu_node007_4x12gb,gpu_node007_direct,,node007-direct,gpu_node007_4x11gb,node007-direct,node007-direct:gpu_node007_4x12gb,,"2,3,4",node007-direct,node007-direct:gpu_node007_4x12gb,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_node007_4x11gb|q11_high_cpu_high_gpu|hybrid_rl_resac_hopper|hopper|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,hopper,hybrid_rl_resac_hopper
node007-direct,node007-direct:gpu_node007_4x12gb,gpu_node007_direct,,node007-direct,gpu_node007_4x11gb,node007-direct,node007-direct:gpu_node007_4x12gb,,"2,3,4",node007-direct,node007-direct:gpu_node007_4x12gb,q11_high_cpu_high_gpu,same_workload_half_capacity,gpu,half_loaded,gpu_node007_4x11gb|q11_high_cpu_high_gpu|hybrid_rl_resac_walker2d|walker2d|half_loaded|same_workload_half_capacity,resac_env_real_venv.cmd.tpl,pending_probe,T0_core_curve,walker2d,hybrid_rl_resac_walker2d
