trace,taskset,arrival_mode,seed,load_factor,policy,metric,relative_loss
q01_gpu_bound_cnn_resnet50_poisson_load0.50_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.50,42,0.5,sota_gavel_finish_time_fairness,mean_flow,0.019092979469788274
q01_gpu_bound_cnn_resnet50_poisson_load0.50_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.50,42,0.5,sota_sia_pollux_resource_adaptive,mean_flow,0.006496155835774564
q01_gpu_bound_cnn_resnet50_poisson_load0.50_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.50,42,0.5,sota_salus_iadeep_packing_guard,mean_flow,0.019092979469788274
q01_gpu_bound_cnn_resnet50_poisson_load0.70_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.70,42,0.7,sota_gavel_finish_time_fairness,mean_flow,0.02660950427817088
q01_gpu_bound_cnn_resnet50_poisson_load0.70_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.70,42,0.7,sota_sia_pollux_resource_adaptive,mean_flow,0.008168517948790255
q01_gpu_bound_cnn_resnet50_poisson_load0.70_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.70,42,0.7,sota_salus_iadeep_packing_guard,mean_flow,0.02660950427817088
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.85,41,0.85,sota_gavel_finish_time_fairness,mean_flow,0.028895729812164594
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.85,41,0.85,sota_sia_pollux_resource_adaptive,mean_flow,0.034532962945315715
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.85,41,0.85,sota_salus_iadeep_packing_guard,mean_flow,0.028895729812164594
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.85,42,0.85,sota_gavel_finish_time_fairness,mean_flow,0.064226718926365
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.85,42,0.85,sota_sia_pollux_resource_adaptive,mean_flow,0.06841999072560867
q01_gpu_bound_cnn_resnet50_poisson_load0.85_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.85,42,0.85,sota_salus_iadeep_packing_guard,mean_flow,0.064226718926365
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.95,41,0.95,sota_gavel_finish_time_fairness,mean_flow,0.03905656313954431
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.95,41,0.95,sota_sia_pollux_resource_adaptive,mean_flow,0.03173993279643961
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed41,q01_gpu_bound_cnn_resnet50,poisson_load0.95,41,0.95,sota_salus_iadeep_packing_guard,mean_flow,0.03905656313954431
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.95,42,0.95,sota_iadeep_salus_interference_guard,makespan,0.011865953393843665
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.95,42,0.95,sota_gavel_finish_time_fairness,mean_flow,0.04423152146499865
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.95,42,0.95,sota_sia_pollux_resource_adaptive,mean_flow,0.08677080019191918
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed42,q01_gpu_bound_cnn_resnet50,poisson_load0.95,42,0.95,sota_salus_iadeep_packing_guard,mean_flow,0.04423152146499865
q01_gpu_bound_cnn_resnet50_poisson_load0.95_seed43,q01_gpu_bound_cnn_resnet50,poisson_load0.95,43,0.95,sota_sia_pollux_resource_adaptive,mean_flow,0.02121858977317137
q01_gpu_bound_cnn_resnet50_bursty_load0.50_seed41,q01_gpu_bound_cnn_resnet50,bursty_load0.50,41,0.5,sota_gavel_finish_time_fairness,mean_flow,0.02902431823686813
